no,desc,cat,unit_cost,unit_price
1960-S,"NAIROBI Guest Chair, green",CHAIR,15200,22500
1972-S,"MOMBASA Swivel Chair, yellow",CHAIR,18500,27000
1980-S,"KISUMU Swivel Chair, red",CHAIR,20000,29500
1988-S,"KAMPALA Guest Chair, red",CHAIR,16800,24800
2000-S,"KIGALI Ergonomic Chair, black",CHAIR,27500,39500
2004-S,"LAGOS Executive Chair, grey",CHAIR,24000,35500
2008-S,"ACCRA Stacking Chair, blue",CHAIR,8200,12500
1896-S,ADDIS ABABA Executive Desk,BENCH,128000,187000
1900-S,CAIRO Writing Desk,BENCH,77000,112000
1908-S,DUBAI Corner Desk,BENCH,88500,130000
1916-S,JOHANNESBURG Sit-Stand Desk,BENCH,109000,158000
1920-S,LUANDA Conference Table,TABLE,162000,237000
1928-S,DAKAR Meeting Table,TABLE,97000,143000
1936-S,ACCRA Round Table,TABLE,67500,99000
1944-S,HARARE Folding Table,TABLE,29500,43500
1952-S,"ABUJA Whiteboard, base",MISC,36500,53000
1956-S,Conference Bundle 1-6,MISC,245000,352000
1964-S,Guest Section 1,MISC,95000,139000
1968-S,OSLO Filing Cabinet,MISC,24500,36000
1976-S,LONDON Bookcase,MISC,34000,49500
1984-S,MADRID Monitor Stand,MISC,8200,12000
CM-001,Commercial Reception Desk,CM_COMMER,280000,412000
EM-001,Executive Meeting Room Set,EM_COMMER,510000,745000
BEAN-1,Coffee Beans 1kg (AA Grade),BEANS,900,1600
PART-1,Chair Replacement Wheel Set,PARTS,350,850
PART-2,Desk Leg Leveller Kit,PARTS,280,680
